City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
1,Rikitea,PF,76.55,light rain,-23.12,-134.97,Pension Maro'i
6,Basco,PH,75.99,light rain,20.45,121.97,Nathaniel's Lodge
7,Saint-Leu,RE,77.0,light rain,-21.15,55.28,La Caz Oceane
24,Butaritari,KI,82.6,light rain,3.07,172.79,Isles Sunset Lodge
45,Manakara,MG,72.45,light rain,-22.13,48.02,La Residence Manakara
48,Ambagarh Chauki,IN,82.02,light rain,20.78,80.72,Family Dhaba
50,Padang,ID,79.39,moderate rain,-0.95,100.35,Mercure Padang
74,Cobija,BO,83.82,light rain,-11.03,-68.77,Hotel Obelisco
81,Hithadhoo,MV,83.82,moderate rain,-0.6,73.08,Scoop Guest House
95,Richards Bay,ZA,69.82,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
96,Alofi,NU,77.0,light rain,-19.06,-169.92,Taloa Heights
106,Atuona,PF,82.35,light rain,-9.8,-139.03,Villa Enata
109,New Norfolk,AU,44.6,light rain,-42.78,147.06,The Shingles Riverside Cottages
131,Uong Bi,VN,68.0,light rain,21.03,106.78,khach san Trung lien
132,Caiaponia,BR,82.92,light rain,-16.96,-51.81,HOTEL PALACE AVENIDA
141,Lagoa,PT,58.98,light rain,39.05,-27.98,Casa Das Faias
150,Shakawe,BW,69.39,light rain,-18.37,21.85,Ditlhapi Guest House
151,Warrnambool,AU,53.01,light rain,-38.38,142.48,Lady Bay Resort
152,Faanui,PF,83.05,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
162,Saint-Philippe,RE,77.0,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
175,Stromness,GB,46.4,light rain,58.97,-3.3,The Old Smokery
179,Dingle,PH,77.49,light rain,11.0,122.67,Camp Pasica
202,Labuhan,ID,77.52,light rain,-6.88,112.21,bador sepret
210,Maragogi,BR,85.32,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
213,Hobart,AU,44.6,light rain,-42.88,147.33,St Ives Apartments
214,Tual,ID,83.32,moderate rain,-5.67,132.75,Grand Vilia Hotel
218,Hirara,JP,68.41,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
232,Codrington,AU,56.07,light rain,-38.27,141.97,Codrington Gardens Bed And Breakfast
237,Otofuke,JP,43.14,moderate rain,42.99,143.2,スポーツホテル・クロス・コート
238,Sao Joao Da Ponte,BR,81.57,moderate rain,-15.93,-44.01,Hotel da Cidade
239,Ahipara,NZ,62.24,light rain,-35.17,173.17,Ahipara Holiday Park
251,Port-Gentil,GA,76.59,moderate rain,-0.72,8.78,Fengshui Residence
261,Amapa,BR,86.23,light rain,1.0,-52.0,
263,Kaeo,NZ,63.0,light rain,-35.1,173.78,Bushido Lodge
273,San Roque,ES,60.8,light rain,36.21,-5.38,Hotel Guadacorte Park
278,Bengkulu,ID,78.62,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
284,Baturaja,ID,75.94,light rain,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
307,Antsohihy,MG,74.8,light rain,-14.88,47.99,Hotel de Ville
309,Lerwick,GB,44.6,light rain,60.15,-1.15,The Lerwick Hotel
323,Jacareacanga,BR,88.29,moderate rain,-6.22,-57.75,Casa do Ian😎
324,Ambon,ID,81.45,light rain,-3.7,128.18,Swiss-Belhotel Ambon
335,Faya,SA,66.2,light rain,18.39,42.45,مقبرة ال مجمل
341,Kondol,RU,51.01,light rain,52.82,45.06,
362,Yomou,GN,74.75,moderate rain,7.56,-9.27,
373,Curup,ID,69.4,moderate rain,-3.47,102.53,Rumah michiels
384,Mattru,SL,81.7,light rain,7.62,-11.83,Boima Gbondo's Compound
387,Otuzco,PE,75.2,light rain,-7.9,-78.58,HOTEL DE TURISTAS MENG
394,Lorengau,PG,81.54,light rain,-2.02,147.27,Lorengau Harbourside Hotel
396,Nikki,BJ,86.79,light rain,9.94,3.21,Hotel John
399,Conselheiro Pena,BR,75.52,light rain,-19.17,-41.47,Hotel Bela Adormecida
411,Lamu,KE,82.24,light rain,-2.27,40.9,Lamu House
416,Sao Gabriel Da Cachoeira,BR,88.99,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
417,Pauini,BR,82.2,moderate rain,-7.71,-66.98,Casa do Kiwliks
418,Miram Shah,PK,60.39,light rain,33.01,70.07,Bachelor Hostel
445,Puerto Leguizamo,CO,87.66,light rain,-0.19,-74.78,la casona de juancho
447,Potosi,BO,45.79,moderate rain,-19.58,-65.75,Hostal La Casona Potosí
459,Pontianak,ID,78.15,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
475,Trairi,BR,80.65,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
479,Ciparay,ID,76.68,light rain,-7.42,108.47,Bumi Perkemahan Singugu Park
485,Sao Raimundo Nonato,BR,79.02,light rain,-9.02,-42.7,Real Hotel
512,Ibia,BR,71.87,light rain,-19.48,-46.54,Hotel Triângulo
520,Soyo,AO,82.11,light rain,-6.13,12.37,Hotel Mpampa
521,Pandan,PH,79.99,light rain,14.05,124.17,Bonifacio Lodge
526,Brae,GB,44.6,light rain,60.4,-1.35,Busta House Hotel
528,Xacmaz,AZ,47.07,light rain,41.46,48.81,SAHİL HOTEL
536,Lubango,AO,60.39,light rain,-14.92,13.49,Hotel Serra da Chela
537,Chupaca,PE,62.37,light rain,-12.07,-75.28,HOSTAL CIELO - CHUPACA
542,Takoradi,GH,81.46,light rain,4.88,-1.76,Raybow International Hotel
